name,recipient_primary_business_street_address_line1,recipient_city,recipient_state,recipient_zip_code,payment,address,name_geo,phone_geo,formatted_address_geo,latitude_geo,longitude_geo,accuracy_geo,google_place_id_geo,type_geo,postcode_geo,input_string_geo,number_of_results_geo,status_geo
ST ALEXIUS MEDICAL CENTER,900 EAST BROADWAY AVENUE,BISMARCK,ND,58506,74.01,900 EAST BROADWAY AVENUE BISMARCK ND 58506,None,None,"900 E Broadway Ave, Bismarck, ND 58501, USA",46.8076302,-100.777575,ROOFTOP,ChIJWyA-5RmD11IR0rG8168nuLQ,street_address,58501,900 EAST BROADWAY AVENUE BISMARCK ND 58506,1,OK
KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,93306,40298.23,1700 MOUNT VERNON AVENUE BAKERSFIELD CA 93306,None,None,"1700 Mt Vernon Ave, Bakersfield, CA 93306, USA",35.3829347,-118.9705331,ROOFTOP,ChIJO-mHIeJr6oARWc3H4o5uzH4,street_address,93306,1700 MOUNT VERNON AVENUE BAKERSFIELD CA 93306,1,OK
MIDTOWN MEDICAL CENTER,710 Center St,Columbus,GA,31901,13000,710 Center St Columbus GA 31901,None,None,"710 Center St, Columbus, GA 31901, USA",32.480438,-84.9812913,ROOFTOP,ChIJxU_EewDNjIgREmO_58J5FgE,premise,31901,710 Center St Columbus GA 31901,1,OK
T.J. SAMSON COMMUNITY HOSPITAL,1301 NORTH RACE STREET,GLASGOW,KY,42141,84.08,1301 NORTH RACE STREET GLASGOW KY 42141,None,None,"1301 N Race St, Glasgow, KY 42141, USA",37.0111774,-85.9051066,ROOFTOP,ChIJJducFqc9ZogR05YM88ps5hU,street_address,42141,1301 NORTH RACE STREET GLASGOW KY 42141,1,OK
OSU Medical Center,744 West 9th Street,Tulsa,OK,74127,165.44,744 West 9th Street Tulsa OK 74127,None,None,"744 W 9th St, Tulsa, OK 74127, USA",36.1467465,-95.99969399999999,ROOFTOP,ChIJg-ztF3LrtocR1ZtaBzIsKps,street_address,74127,744 West 9th Street Tulsa OK 74127,1,OK
THE MOUNT VERNON HOSPITAL,12 NORTH 7TH AVENUE,MOUNT VERNON,NY,10550,11.82,12 NORTH 7TH AVENUE MOUNT VERNON NY 10550,None,None,"12 N 7th Ave, Mt Vernon, NY 10550, USA",40.9127102,-73.8405279,ROOFTOP,ChIJq3TfnkqNwokRpn54nb6f9rg,premise,10550,12 NORTH 7TH AVENUE MOUNT VERNON NY 10550,1,OK
FAIRFIELD MEDICAL CENTER,401 N Ewing St,Lancaster,OH,43130,9463.82,401 N Ewing St Lancaster OH 43130,None,None,"401 N Ewing St, Lancaster, OH 43130, USA",39.717606,-82.5775809,ROOFTOP,ChIJY1HCDcSKR4gRfidkZVFt-mk,premise,43130,401 N Ewing St Lancaster OH 43130,1,OK
CJW MEDICAL CENTER,7102 Jahnke Rd,Richmond,VA,23225,13580.39,7102 Jahnke Rd Richmond VA 23225,None,None,"7102 Jahnke Rd, Richmond, VA 23225, USA",37.5161907,-77.5256617,ROOFTOP,ChIJEe09dvASsYkRCCH2uI1ffIQ,street_address,23225,7102 Jahnke Rd Richmond VA 23225,1,OK
MEDICAL CITY DALLAS HOSPITAL,7777 Forest Ln,Dallas,TX,75230,80975.77,7777 Forest Ln Dallas TX 75230,None,None,"7777 Forest Ln, Dallas, TX 75230, USA",32.9113881,-96.77344629999999,ROOFTOP,ChIJSS5IHm0gTIYR62Pb5l9HVRk,street_address,75230,7777 Forest Ln Dallas TX 75230,1,OK
PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,1197.74,6901 MEDICAL PARKWAY WACO TX 76712,None,None,"6901 Medical Pkwy, Waco, TX 76712, USA",31.5135807,-97.1985596,GEOMETRIC_CENTER,ChIJi0mDNaCGT4YRYLhYDLzCPCA,premise,76712,6901 MEDICAL PARKWAY WACO TX 76712,1,OK
FLUSHING HOSPITAL MEDICAL CENTER,4500 Parsons Blvd,Flushing,NY,11355,29212.71,4500 Parsons Blvd Flushing NY 11355,None,None,"4500 Parsons Blvd, Flushing, NY 11355, USA",40.7552678,-73.8166179,ROOFTOP,ChIJ48g0bD5gwokRYOzgsu8DQfc,street_address,11355,4500 Parsons Blvd Flushing NY 11355,1,OK
COVENANT MEDICAL CENTER,1447 N Harrison St,Saginaw,MI,48602,16256.86,1447 N Harrison St Saginaw MI 48602,None,None,"1447 N Harrison St, Saginaw, MI 48602, USA",43.4284033,-83.956069,ROOFTOP,ChIJEW9IGkPCI4gRFTU9njwlvKU,premise,48602,1447 N Harrison St Saginaw MI 48602,1,OK
MEDICAL CENTER OF CENTRAL GEORGIA,777 HEMLOCK STREET,MACON,GA,31201,40061.66,777 HEMLOCK STREET MACON GA 31201,None,None,"777 Hemlock St, Macon, GA 31201, USA",32.8331777,-83.6360899,ROOFTOP,ChIJv4kwS4f-84gRX9Be7tLVjPk,street_address,31201,777 HEMLOCK STREET MACON GA 31201,1,OK
CHI HEALTH ST. ELIZABETH,555 S 70th St,Lincoln,NE,68510,1862.6,555 S 70th St Lincoln NE 68510,None,None,"555 S 70th St, Lincoln, NE 68510, USA",40.80803,-96.62691919999999,ROOFTOP,ChIJT_5WpKy9locRdRBIYWl2AE8,street_address,68510,555 S 70th St Lincoln NE 68510,1,OK
KECK HOSPITAL OF USC,1500 SAN PABLO STREET,LOS ANGELES,CA,90033,2594630.02,1500 SAN PABLO STREET LOS ANGELES CA 90033,None,None,"1500 San Pablo St, Los Angeles, CA 90033, USA",34.06199429999999,-118.2012607,ROOFTOP,ChIJJz9hwN7FwoARtpOR9LA59rs,street_address,90033,1500 SAN PABLO STREET LOS ANGELES CA 90033,1,OK
BROCKTON HOSPITAL  INC.,680 CENTRE STREET,BROCKTON,MA,2402,24446.5,680 CENTRE STREET BROCKTON MA 2402,None,None,"680 Centre St, Brockton, MA 02302, USA",42.0877003,-70.9914661,ROOFTOP,ChIJqZjBuzCb5IkRbCUK2oF9000,"establishment,health,hospital,point_of_interest",02302,680 CENTRE STREET BROCKTON MA 2402,1,OK
BAYLOR UNIVERSITY MEDICAL CTR,3900 JUNIUS ST,DALLAS,TX,75246,312386.97,3900 JUNIUS ST DALLAS TX 75246,None,None,"3900 Junius St, Dallas, TX 75246, USA",32.7911691,-96.7765881,ROOFTOP,ChIJrdsi9CWeToYRIYGwCy02dHU,premise,75246,3900 JUNIUS ST DALLAS TX 75246,1,OK
OCONNOR HOSPITAL,2105 Forest Ave,San Jose,CA,95128,472510.21,2105 Forest Ave San Jose CA 95128,None,None,"2105 Forest Ave, San Jose, CA 95128, USA",37.3277552,-121.9383789,ROOFTOP,ChIJIwiOoRnLj4AR61r669_wYjA,street_address,95128,2105 Forest Ave San Jose CA 95128,1,OK
NEWYORK-PRESBYTERIAN/QUEENS,5645 Main St,Flushing,NY,11355,422446.98,5645 Main St Flushing NY 11355,None,None,"56-45 Main St, Briarwood, NY 11435, USA",40.7471198,-73.8253655,ROOFTOP,ChIJPVi0sW5gwokRxsiE_I7wk0g,premise,11435,5645 Main St Flushing NY 11355,1,OK
RIVERSIDE REGIONAL MEDICAL CENTER,500 J Clyde Morris Blvd,NEWPORT NEWS,VA,23601,62934.87,500 J Clyde Morris Blvd NEWPORT NEWS VA 23601,None,None,"500 J Clyde Morris Blvd, Newport News, VA 23601, USA",37.0634596,-76.4833383,ROOFTOP,ChIJVRNwSkN4sIkRYgYV6bYr5u0,street_address,23601,500 J Clyde Morris Blvd NEWPORT NEWS VA 23601,1,OK
